iter	Passed	Remaining
405	5990	8764
406	6000	8743
407	6009	8719
408	6021	8701
409	6032	8681
410	6043	8660
411	6055	8642
412	6069	8627
413	6086	8615
414	6101	8600
415	6111	8580
416	6123	8560
417	6138	8546
418	6151	8530
419	6164	8513
420	6176	8494
421	6187	8475
422	6199	8456
423	6209	8435
424	6219	8415
425	6232	8398
426	6242	8377
427	6254	8359
428	6266	8341
429	6276	8319
430	6288	8301
431	6300	8283
432	6310	8263
433	6321	8243
434	6332	8225
435	6343	8206
436	6355	8188
437	6366	8168
438	6375	8147
439	6386	8128
440	6398	8110
441	6409	8091
442	6420	8072
443	6431	8053
444	6441	8033
445	6454	8017
446	6465	7999
447	6479	7983
448	6490	7964
449	6505	7950
450	6522	7939
451	6538	7927
452	6552	7912
453	6567	7898
454	6580	7882
455	6592	7864
456	6604	7847
457	6617	7831
458	6630	7815
459	6643	7798
460	6655	7781
461	6670	7767
462	6684	7753
463	6697	7736
464	6711	7721
465	6724	7706
466	6741	7694
467	6756	7679
468	6768	7662
469	6781	7647
470	6792	7629
471	6805	7612
472	6817	7595
473	6830	7579
474	6845	7566
475	6860	7552
476	6874	7537
477	6886	7519
478	6897	7502
479	6909	7484
480	6922	7469
481	6933	7451
482	6961	7451
483	6989	7451
484	7005	7438
485	7020	7425
486	7032	7407
487	7050	7397
488	7061	7379
489	7076	7364
490	7089	7348
491	7101	7332
492	7113	7315
493	7125	7298
494	7139	7284
495	7153	7269
496	7174	7260
497	7188	7246
498	7208	7237
499	7224	7224
500	7239	7210
501	7255	7197
502	7272	7185
503	7287	7171
504	7303	7158
505	7317	7143
506	7328	7125
507	7341	7110
508	7354	7094
509	7367	7078
510	7383	7065
511	7400	7053
512	7415	7039
513	7426	7022
514	7439	7005
515	7451	6989
516	7464	6973
517	7476	6956
518	7490	6941
519	7504	6926
520	7515	6909
521	7525	6891
522	7537	6874
523	7551	6859
524	7563	6843
525	7574	6825
526	7588	6811
527	7602	6795
528	7616	6781
529	7631	6767
530	7643	6750
531	7657	6736
532	7673	6723
533	7689	6710
534	7706	6697
535	7722	6685
536	7738	6671
537	7752	6657
538	7766	6642
539	7780	6628
540	7798	6616
541	7813	6602
542	7833	6592
543	7853	6583
544	7871	6571
545	7886	6557
546	7901	6543
547	7914	6527
548	7927	6512
549	7941	6497
550	7952	6480
551	7966	6465
552	7980	6451
553	7995	6437
554	8010	6422
555	8020	6404
556	8034	6389
557	8047	6374
558	8060	6359
559	8071	6342
560	8082	6325
561	8097	6310
562	8110	6295
563	8122	6279
564	8133	6262
565	8146	6246
566	8159	6231
567	8172	6215
568	8182	6198
569	8197	6183
570	8210	6168
571	8223	6153
572	8236	6137
573	8247	6120
574	8267	6111
575	8295	6106
576	8313	6094
577	8331	6082
578	8346	6068
579	8361	6055
580	8377	6041
581	8392	6027
582	8408	6014
583	8424	6000
584	8437	5985
585	8449	5969
586	8462	5953
587	8475	5938
588	8488	5923
589	8503	5909
590	8517	5894
591	8528	5877
592	8540	5861
593	8554	5846
594	8567	5831
595	8582	5817
596	8592	5800
597	8608	5787
598	8622	5772
599	8635	5756
600	8648	5741
601	8660	5725
602	8673	5710
603	8687	5696
604	8703	5682
605	8718	5668
606	8737	5657
607	8758	5646
608	8775	5634
609	8789	5619
610	8804	5605
611	8818	5590
612	8834	5577
613	8852	5565
614	8872	5554
615	8886	5539
616	8902	5525
617	8917	5511
618	8930	5496
619	8940	5479
620	8954	5464
621	8968	5450
622	8979	5434
623	8992	5418
624	9006	5404
625	9018	5388
626	9028	5370
627	9039	5354
628	9052	5339
629	9061	5321
630	9072	5305
631	9084	5289
632	9106	5279
633	9135	5273
634	9158	5264
635	9187	5258
636	9205	5245
637	9223	5233
638	9244	5222
639	9260	5209
640	9277	5195
641	9303	5187
642	9330	5180
643	9354	5170
644	9376	5160
645	9391	5146
646	9406	5132
647	9420	5117
648	9434	5102
649	9447	5087
650	9460	5071
651	9474	5056
652	9490	5043
653	9504	5028
654	9520	5014
655	9534	4999
656	9549	4985
657	9564	4971
658	9580	4957
659	9599	4945
660	9620	4933
661	9638	4921
662	9652	4906
663	9668	4892
664	9684	4878
665	9702	4865
666	9718	4851
667	9735	4838
668	9751	4824
669	9767	4810
670	9785	4797
671	9800	4783
672	9814	4768
673	9828	4753
674	9842	4738
675	9855	4723
676	9871	4709
677	9885	4694
678	9901	4681
679	9916	4666
680	9932	4652
681	9947	4638
682	9963	4624
683	9978	4610
684	9994	4596
685	10011	4582
686	10026	4568
687	10044	4555
688	10064	4542
689	10089	4532
690	10103	4518
691	10119	4503
692	10133	4489
693	10149	4475
694	10166	4461
695	10180	4446
696	10205	4436
697	10221	4422
698	10235	4407
699	10247	4391
700	10262	4377
701	10277	4362
702	10292	4348
703	10306	4333
704	10321	4318
705	10335	4303
706	10350	4289
707	10366	4275
708	10383	4261
709	10403	4249
710	10418	4234
711	10436	4221
712	10466	4213
713	10486	4200
714	10505	4187
715	10521	4173
716	10536	4158
717	10550	4143
718	10564	4128
719	10578	4113
720	10591	4098
721	10604	4083
722	10622	4069
723	10636	4054
724	10652	4040
725	10667	4025
726	10680	4010
727	10695	3996
728	10712	3982
729	10728	3968
730	10742	3953
731	10754	3937
732	10768	3922
733	10783	3907
734	10798	3893
735	10813	3878
736	10827	3863
737	10843	3849
738	10859	3835
739	10877	3821
740	10905	3811
741	10924	3798
742	10942	3784
743	10958	3770
744	10972	3755
745	10987	3741
746	11000	3725
747	11015	3711
748	11031	3696
749	11048	3682
750	11064	3668
751	11079	3653
752	11094	3639
753	11111	3625
754	11125	3610
755	11139	3595
756	11153	3580
757	11166	3564
758	11178	3549
759	11193	3534
760	11204	3518
761	11213	3502
762	11225	3486
763	11238	3471
764	11249	3455
765	11261	3440
766	11275	3425
767	11289	3410
768	11305	3396
769	11328	3383
770	11357	3373
771	11373	3358
772	11392	3345
773	11406	3330
774	11420	3315
775	11434	3300
776	11447	3285
777	11458	3269
778	11470	3254
779	11483	3239
780	11494	3223
781	11508	3208
782	11520	3192
783	11534	3177
784	11546	3162
785	11559	3147
786	11577	3133
787	11594	3119
788	11607	3104
789	11622	3089
790	11635	3074
791	11649	3059
792	11661	3044
793	11671	3028
794	11686	3013
795	11700	2998
796	11714	2983
797	11725	2968
798	11736	2952
799	11749	2937
800	11763	2922
801	11780	2908
802	11801	2895
803	11818	2881
804	11832	2866
805	11844	2850
806	11854	2834
807	11867	2819
808	11880	2804
809	11891	2789
810	11902	2773
811	11916	2758
812	11928	2743
813	11940	2728
814	11956	2714
815	11970	2699
816	11985	2684
817	12000	2670
818	12012	2654
819	12026	2640
820	12038	2624
821	12051	2609
822	12063	2594
823	12076	2579
824	12091	2564
825	12105	2550
826	12118	2535
827	12133	2520
828	12147	2505
829	12161	2490
830	12177	2476
831	12193	2462
832	12209	2447
833	12229	2434
834	12254	2421
835	12266	2406
836	12280	2391
837	12294	2376
838	12310	2362
839	12324	2347
840	12339	2332
841	12354	2318
842	12365	2302
